motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;requi_legales;p_cumplimiento
PROGRAMACION;208;18/05/2020;25/06/2020;1,58E+12;URBANA;EL ROSARIO;2;2;2;2;2;10;2;2;12;1;0;2;2;14;2;2;1;2;2;0;22,75;2;2;2;25;2;5;88,75
PROGRAMACION;209;15/05/2020;20/06/2020;1,58E+12;URBANA;SAN MARTIN CENTRO;2;2;2;1;2;8,5;1;2;9;2;2;1;2;17;2;2;2;2;1;1;23;1;2;2;21;2;5;83,5
PROGRAMACION;210;15/05/2020;20/06/2020;1,58E+12;URBANA;CENTRO;2;2;1;2;2;9,25;2;2;12;2;2;2;2;20;2;2;1;2;2;0;22,75;2;2;1;21;1;2,5;87,5
PROGRAMACION;211;26/05/2020;20/06/2020;1,58E+14;URBANA;MAGDALENA;2;1;2;1;2;7,75;2;2;12;2;0;1;0;9;1;2;1;2;2;0;20,25;2;2;2;25;2;5;79
PROGRAMACION;212;8/05/2020;20/06/2020;NO PRESENTA;URBANA;OLAYA HERRERA;2;2;2;2;2;10;2;1;9;2;2;1;2;17;2;2;2;2;1;0;21;1;2;1;17;2;5;79
PROGRAMACION;213;7/05/2020;20/06/2020;NO PRESENTA;URBANA;SUGAMUXI;2;2;2;1;2;8,5;2;2;12;2;0;2;0;12;2;2;1;2;2;0;22,75;2;2;2;25;2;5;85,25
PROGRAMACION;214;28/05/2020;20/06/2020;1,58E+12;URBANA;VALDEZ TAVERA;2;2;1;1;2;7,75;2;2;12;2;1;2;1;16;1;2;1;2;2;0;20,25;2;2;2;25;2;5;86
PROGRAMACION;215;28/05/2020;20/06/2020;1,58E+12;URBANA;UNIVERSITARIO;2;2;1;2;2;9,25;2;2;12;2;2;1;2;17;1;2;2;2;2;1;23,5;1;2;2;21;2;5;87,75
PROGRAMACION;216;28/05/2020;20/06/2020;1,58E+14;URBANA;EL ROSARIO;2;2;2;1;2;8,5;2;2;12;2;1;2;2;18,5;1;2;2;2;1;0;18,5;1;2;2;21;2;5;83,5
PROGRAMACION;217;28/05/2020;20/06/2020;1,58E+12;URBANA;VALDES TAVERA;2;2;1;1;2;7,75;2;2;12;2;1;2;1;16;1;2;2;2;1;0;17,25;2;1;2;20,5;2;5;78,5
PROGRAMACION;218;27/05/2020;20/06/2020;1,58E+11;URBANA;COLOMBIA;2;1;2;1;2;7,75;1;2;9;2;1;1;1;13;1;2;1;2;1;0;17,25;2;2;2;25;2;5;77
