motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;75;11/08/2020;30/08/2020;1,58E+13;URBANA;LAGUITO;2;1;1;1;6;1;1;6;1;0;1;1;9;1;2;1;2;19;1;2;1;2;1;0;22;62
PROGRAMACION;76;21/08/2020;30/08/2020;1,58E+14;URBANA;LAGUITO;2;1;2;1;7;2;1;8,5;1;0;1;0;7;1;2;1;2;19;1;2;1;2;2;0;25,5;67
PROGRAMACION;77;20/08/2020;30/08/2020;1,58E+14;URBANA;EL CORTEZ;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;62,5
PROGRAMACION;78;6/08/2020;30/08/2020;1,58E+12;URBANA;CENTRO;1;1;1;1;5;2;2;12;1;2;1;1;11;1;2;1;1;17;1;2;1;2;2;0;25,5;70,5
PROGRAMACION;79;25/08/2020;30/09/2020;1,58E+11;URBANA;TERMINAL;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;2;1;20,5;1;2;1;0;1;0;13;52.5
SEGUIMIENTO;80;27/08/2020;30/09/2020;1,58E+11;URBANA;TERMINAL;2;1;1;2;8;1;2;9,5;2;0;1;0;7;1;2;2;2;22,5;1;2;2;2;2;0;27,5;74.5
PROGRAMACION;81;17/09/2020;3/10/2020;1,58E+14;URBANA;UNIVERSITARIO;2;2;2;2;9;2;1;8,5;1;1;1;1;10;1;2;1;1;17;1;2;2;2;1;1;25;69.5
PROGRAMACION;82;10/09/2020;6/10/2020;1,58E+11;URBANA;CENTRO;2;1;2;2;9;2;1;8,5;1;2;2;1;14,5;1;2;1;2;19;1;2;1;2;1;1;23;74
PROGRAMACION;83;10/09/2020;6/10/2020;NO PRESENTA;URBANA;CENTRO;2;1;1;1;6;1;1;6;1;0;0;0;3,5;1;2;1;1;17;1;1;1;2;1;0;20;52.5
PROGRAMACION;84;17/09/2020;8/10/2020;1,58E+14;URBANA;CENTRO;2;1;1;1;6;2;2;12;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;66
