motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;direccion_notificacion;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;28;13/05/2020;28/05/2020;15759281669/1;URBANA;CENTRO;CARRERA 13 N 12/62;1;1;2;1;6;1;1;6;2;1;2;1;17;2;2;1;1;19,5;2;2;1;2;1;1;26,5;75
PROGRAMACION;29;13/05/2020;28/05/2020;NO PRESENTA;URBANA;UNIVERSITARIO;CARRERA 14 N 1/47 SUR;1;1;1;2;7;1;2;9,5;2;2;1;2;16,5;1;2;1;1;17;2;2;1;2;1;1;26,5;76,5
PROGRAMACION;30;14/05/2020;28/05/2020;NO PRESENTA;URBANA;VILLA DEL SOL;CALLE 2 D N 21/05;1;0;0;1;3;1;1;6;2;1;0;1;10;1;0;1;1;8;0;2;1;2;1;1;19,5;46,5
PROGRAMACION;31;8/05/2020;28/05/2020;1,58E+12;URBANA;PUENTE PESCA;CALLE 9 N 10/82;1;1;1;1;5;1;2;9,5;2;2;1;2;16,5;1;2;1;1;17;1;2;1;2;1;1;23;71
PROGRAMACION;32;8/05/2020;29/05/2020;NO PRESENTA;URBANA;SANTA ANA;CALLE 9 N 9/23;1;1;1;1;5;1;2;9,5;2;1;2;1;17;1;2;1;0;15;1;2;2;2;1;1;25;71,5
PROGRAMACION;33;19/05/2020;29/05/2020;1,58E+14;URBANA;SIMON BOLIVAR;CARRERA 20 N 6/06;2;1;1;1;6;2;2;12;2;2;1;2;16,5;1;2;1;1;17;1;2;1;2;1;0;22;73,5
PROGRAMACION;34;22/05/2020;3/06/2020;1,58E+11;URBANA;SIMON BOLIVAR;CALLE 5 A  N 22/30;2;1;1;1;6;1;2;9,5;2;0;2;0;14;1;2;1;1;17;1;2;1;2;1;0;22;68,5
PROGRAMACION;35;7/05/2020;3/06/2020;NO PRESENTA;URBANA;EL BOSQUE;CARRERA 14 N 1/08;1;1;1;1;5;1;2;9,5;2;1;1;1;13,5;1;2;1;1;17;1;2;1;2;1;1;23;68
PROGRAMACION;36;21/05/2020;3/06/2020;1,58E+11;URBANA;ROSARIO;CALLE 7 N 15/81;2;1;1;1;6;1;1;6;2;1;2;1;17;1;2;1;1;17;1;2;1;2;1;1;23;69
PROGRAMACION;37;22/05/2020;3/06/2020;1,58E+11;URBANA;MAGDALENA;CARRERA 26 N 6 A-40;1;1;1;1;5;1;1;6;2;1;2;1;17;1;2;1;1;17;1;1;1;2;1;1;21;66
PROGRAMACION;38;22/05/2020;3/06/2020;NO PRESENTA;URBANA;MAGDALENA;CALLE 5 C N 26/34;1;1;1;0;3;1;2;9,5;2;1;2;1;17;1;2;1;1;17;1;2;1;2;2;1;26,5;73
